Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
448027,B00020XNUW,AHFGB7Y4EKH0Z,thirty ought seven,1,1,3,1329264000,"Good, but...","... not $54 + $12 shipping good.<br /><br />I haven't tasted these in 25 years. My French boss used to bring back a box or two whenever she came back from Europe, and back then I thought they were the best thing I'd ever put in my mouth. Imagine how pleased I was when I discovered they were available through Amazon!<br /><br />Well, a lot has changed since then. The filling texture seems margarine-y to me (somewhat like whipped Crisco) rather than the creamy, melt-in-your-mouth goodness I remember. Also, the flavor seems less pronounced, and the hazelnuts are definitely not as fresh and crunchy as they once were.<br /><br />Maybe it's just me, or perhaps this is a shipping version of the recipe, better suited to handle temperature swings and rough handling. Whatever the reason, I wouldn't pay $66 for 1.5 lb box again; $25-30 seems about right."
358027,B0032CJPOK,A3BNP3JU48QQZW,"F. Feng ""the one""",1,1,4,1257120000,Very good but not always,"I ordered this product a while ago and my baby loved it.  Half months ago, I subscribed this product then I got different problem with 2 cans of this product.<br />my baby got diarrhea after we started using the first can and the diarrhea stopped once we stopped using the first can.<br />The second can works better than the first one; however, I found a 1cm long, black color fiber in the second can. I really don't know where this fiber comes from, but definately not from us...<br /><br />I check the expiration date for these two cans: they are the same: March, 2011.<br /><br />I went to Baby R US and bought anther can with the expiration date of July, 2012 (or 2011), this can works fine for us."
437335,B0026WHP80,A32RGO6KJSKG37,"Jimmy Smith ""Cheeseburger""",0,0,4,1269648000,"Great snack, maybe too salty","The strips of jerky are thinner than average and it tasted good, it was a little too salty for my taste. I would probably try another variety of them and not the 'original' anymore."
527475,B000QSON4K,A31OAJ3EY5ACBA,Anthonette N. Deprimo,0,0,5,1333584000,Great Product,Great product. no complaints. Shipping was fast and everything came as expected. Product was as described and my dogs love them. makes pills time so much more easy. thank you
489327,B000X9D8ZM,A1DKWXFQ2W9GC6,J. Carlson,10,11,1,1296086400,Do Not Buy This Product here...,"We have been using the Dynamic Health Organic Goji Gold Juice for a few years now (purchased elsewhere). We saw that it was a lot cheaper if we purchased thorough Amazon.com and used Autoship. So we have received 3 shipments so far but 2 of the 3 shipments were ""Spoiled"". I felt like I drank poison! It tasted (and smelled) like Vinegar! This is a storage issue, I am certain. If this juice is not stored at the proper temperature it certainly will spoil.<br /><br />I am going back to Vitacost.com which is a few $$ more in cost, but for over a year, I NEVER received ""spoiled"" product from them. Buyer Beware...it's not all about the cost when you are putting it in your body!"
158067,B004E2Z4XS,A30S6TQ629U1GB,A.E.,6,6,5,1322265600,FINALLY a constipation cure!,"IMPORTANT:  This Review is for Royal Canin ""Gastrointestinal Fiber Response"" and I'm not sure that's what this one is...(see other reviews). I did not buy this here...<br /><br />REVIEW:<br />I've tried laxatone, lax'aire, catlax, and cisapride.  Though my cat loved the taste of them (except for the laxatone which he eventually got sick of), none of them fixed his constipation problem.  He was struggling to go and going anywhere and everywhere in the house.  I mixed this food 50-50 with our regular Science Diet Mature Formula and now he actually has diarrhea.  I've cut down to about 40% of the new cat food and we almost have it right.  The cat's poop stinks horribly, but at least he can go and it's in the litter box. It's only been a couple of weeks so I don't know about long-term results...<br /><br />UPDATE (Sept, 2012):<br />  Long-term results are great! We call this the pooping food. :) This still works fantastic and I have all of my cats eating it, even though only one of them actually needs it. They also all love the taste and seem to mine for this cat food when I have it mixed with another one. The cats have adjusted to it so they could probably eat it straight now (no more diarrhea), but it's so expensive that I think I'll still mix it (FYI, you can find this cheaper elsewhere online or possibly from your vet; it's not in regular pet stores). I'm at about a 50-50 mix again, partly just because the cats like this stuff so much. I quit mixing with Science Diet since the formula seems to have changed and it smells awful now (neither I nor the cats seem to want to tolerate that). We've sometimes had problems (e.g., throwing up) with the cats when the cat food has run low in the dish because the cats already ate all/most of the royal canin, but that might be from the gross Science Diet formula. I've gone to 1/2 meow mix now, with no ill effects, but the cats still try to pick out the royal canin. I'll probably try to mix with a more generic royal canin one next. I guess the point is that it doesn't matter what you mix this stuff with, as long as your cats like the mix.<br />  Although I'm completely sold on this cat food since I no longer have to worry about being on the lookout for poopy surprises (yuck!), there is a drawback. If your cats tend to throw up or get hairballs, this cat food seems to stain the carpet more than other foods. Sometimes I can't get the yellowish stain out even with my tried and true SpotShot spray and PetBot machine, which have never failed me before. Good luck. If you're reading this, you and your cat are probably very frustrated. Hope this stuff helps you too! I'm throwing away all of the prescription and OTC laxatives I bought because I haven't used them once since I started this food. They better keep making this stuff!!!"
228063,B003VXHGPK,A119HR3WKJPKD,Carrie H,0,0,5,1336003200,My favorite k cup,My favorite Flavored coffee!!! This is not available in any of my local stores.  Better price than I have found at any local stores as well.
525560,B001FA1KNK,A1AMCR6ISCN2Z6,"William C. Diemer ""wcd53""",3,4,5,1179273600,For the wife.,Purchased these tea-bags for my wife.  She enjoys a GOOD cup of tea in the morning and this product provides that.  Introduced to these tea bags while on vacation in Bermuda.
416661,B000EMD1XW,A19NKFFO4F13RZ,Jane T.,2,2,5,1290988800,delicious!!,"The Vanilla Caramel Truffle by Lipton is ablsolutely scrumptious!  Add a little cream and sweetener and it is like having dessert! I have tried other ""vanilla"" teas and nothing comes close to this.  I highly recommend this product. Thank you Lipton!!"
444021,B000I6PYWA,A13HSOS8BFMG1L,More Eel,0,0,5,1268611200,My cup of coffee,"I love this coffee. It's so smooth and creamy, not bitter. The after taste is very unique, kinda fruity almost wine-like. Enjoy!"
133954,B002GPNT32,A6V9QEMF72812,ashley,0,0,5,1312848000,Tastes great,"I've been drinking this like water I love the taste!  I pour it over some crushed ice, and I can just down it.  My husband on the other hand HATES the taste of rice, and he didn't like this either. (it has a rice taste) So if you love the taste of rice, you'll love this for sure."
23484,B004R8J8E0,AMB2Z4FMDBWQY,"VIDFAN ""specfellow""",0,0,4,1317772800,Sometimes The Old Standby Is the Best,"Usually I buy spicy Shake N' Bake seasonings, so I was prepared to be a little disappointed when I tried my sample of the Original Pork breading. It turned out to be pretty tasty - the crispy breading added a subtle flavor to the pork and didn't overpower it. Add some rice or pasta and a side of vegetables and you've got yourself a healthy, home-cooked meal with little hassle. I'll make a note to buy more of the original flavor in the future."
283534,B0045Z4JAI,A2HEFKR3769OMM,R. Atkinson,0,0,3,1344124800,"Makes smooth, but watery decaf coffee","I like that it's not too bitter, but like a bunch of other reviewers, I find that the coffee comes out a bit too watery.  My cups are 12 ounce.  I use creamer, but it's the powdered kind, not the liquid, so it shouldn't water down the coffee.<br /><br />I will probably not buy these again.  I think I'm going to try the eco filter cups, or whatever they're called, with regular decaf coffee grounds from the grocery store."
235075,B0034EDMCW,A1WPTKTQ5LYFT6,loelli,0,0,5,1340582400,Tastes like Samoa girl scout cookies!!,I'm so glad I tried these.  I just started following a strict gluten-free diet and figuring out what to stock up on is hard!  After trying the variety pack I knew these would become my go-to snack bars!
337410,B006N3I3I4,A2FD6VSNQJ2MU7,"Diane L. Robaldo ""granny dee""",0,0,5,1313971200,great coffee,"really a bold and stong taste, we like a bold coffee and its hard to find for the k cups, this one is our favorite ,"
48338,B000EVLS2E,APIK52JZ16938,"grauma ""alg""",0,9,2,1168300800,a little tough,"not a good excuse for a morning cereal...<br /><br />perhaps good for your chickens. squirels, etc.."
139128,B000FPKX5C,A3AIZOQD7O1IPY,Mei X.,0,0,5,1344384000,Adult food.,"Whoever said these are only for babies. I LIKE EM TOO! They're perfect for small munchies like me. Not too sweet and its whole grain. It doesn't really make me bloat like other natural food. But this, is delicious!"
274713,B000J0OPAC,A23BXSLCQO3ZRX,J. Sexton,1,2,1,1250035200,Ripped off,"From the display on the amazon site, it is not apparent what the size of the package is. I paid approximately what I would pay for 50 pounds of flour for a 4 oz package of baking mix - plus outrageous shipping on top of that. I never expected to encounter such cheating on Amazon and this gives me doubt about continuing to purchase on Amazon - especially groceries - unless I know exactly what it is I am buying. I will certainly not purchase from this seller ever again."
457341,B000FAPLYU,A2X5XTDHW6K06O,peepthischica,5,5,5,1215302400,"Excellent product, excellent vendor service",fast delivery. the packages of grissini were actually larger than i thought (and great for the office munchies).
493022,B003TC7WN4,A1YRMZSCQJC6BL,"B. R. Feldan ""Gucciholly""",0,0,5,1323302400,"Wolfgan Puck Coffee,Breakfast in Bed K-cups",I find this particular brand as good as the local coffee shop coffee (D.D.) which is a compliment to the maker. I have made this particular brand my #1 choice.
385150,B005VOOM5E,A398R165PXFOSS,"Mental Mommy ""Mental Mommy""",0,1,4,1335398400,"A bit acidic, but great flavor!","This coffee is a great way to start your day! I read a few other reviews that said it was weak.  Perhaps some of that is machine? We use a Keurig and empty each packet into our re-usable filter.  My husband says it's about as strong as his other ""medium/bold"" roasts, but with a better flavor.  I would agree with that - the flavor is better than most coffees, and I can drink it with my regular 2 creams, which I can't do with ""bold"" coffees.  I only knocked off one star because of the price.  I can get 15 of these for ten bucks, or 50 of the Donut Shop Brand for thirty bucks.  If it were a little more comparable, I'd probably be willing to spend a little more for something both my husband and I really enjoy.  As it is, we will stick with a slightly more economical brand and this might be a ""treat"".  :-)"
47483,B003ZXG0VW,A1FWFO93MMN388,Why do I need a &quot;pen&quot; name?,0,4,1,1326585600,Trans fat..,This product contains trans fat.. PARTIALLY HYDROGENATED PALM KERNEL AND/OR COTTONSEED OIL.. do your research.. don't rely on companies to tell you the whole truth.
131407,B000VHZ84A,A21CC82KBPT1JB,"Diane Elliott ""Dvelliott""",0,0,5,1242864000,Excellent dog treats.,I have two dogs that absolutely love these treats!  The 5lb bag size that I purchased is very convenient and long lasting.  The vendor that I purchased them from is very thorough; several emails were sent updating me on the status of my order and it's upcoming delivery. The price was extremely reasonable.  The best part is the fact that my pups adore these treats and they are good for them to nibble on throughout the day.  A guilt free doggie reward!
54614,B001TLY7A8,ATCASUX9DGOZ2,A. Gaigalaite,1,1,5,1267660800,The Best Food for Cats!,"My cat is very picky and only eats certain kinds of food.  When he first tried the Paw Lickin Chicken, it instantly became his favorite.  He loves it!  It's also way healthier than most of other brands out there, any definitely beats any dry food for cats."
65427,B001EQ55ZO,A2V0I904FH7ABY,Ram,0,0,3,1215216000,"Well roasted, tasty & crunchy, rightly peppered, but a bit too salty","The cashew are well roasted giving it a nice flavor and tasty crunch.  If you start eating one, it is difficult to stop eating them one after the other - typical nuts !  (except of the excessive saltiniess)<br /><br />The cashews also been well flavored with ground pepper, but the only problem is that the cashews have been overly salted - I typically have to shake the canister a couple of times to let the salt settle to the bottom before I take a byte."
51608,B004HOLD92,A2RZ9O4PSL16V4,"N. Gargano ""nokegchris""",1,1,5,1206748800,Delicious,"I am on the Atkins diet, have been for four years, and almonds are an important part of snacking, these almonds are delicious. I have found blue diamond to be so fresh, and the salt and vinegar satisfy a multitude of cravings."
507324,B000EEDJGE,AA3VXDPODTQCP,"R. ODonnell ""Ansel fan""",0,0,4,1269820800,Chuckles,"It's hard to find Chuckles in the big box stores where I normally shop. My wife has cravings for items we used to be able to get before we relocated. So I purchased this as a gift.  They arrived in about 5 days, were adequately packaged and reasonably priced."
461096,B006JXEKPI,A1G74LVQBHXR55,birdstorebird,1,1,5,1343692800,My Daughter LOVES,My two year old LOVES this brand and this flavor in particular (we have tried them all). You cannot go wrong with Peter Rabbit Organics. They make the best baby 'squishy' out there. Don't hesitate!
455911,B008K9TOU0,AIVUL4BHHPXDJ,V. DeWitt,0,0,5,1300406400,Really good when brewing small,I was surprised at how good this decaf was when I brewed about an 8 oz or less cup.  Yum!  Much better than most decaf in coffee shops.
432718,B003MWBFXY,A1MV5ATV8WXXRO,Teresa Karr,1,6,3,1153872000,Not tastey,"I fed this product to my cat and my roommate's cat.  I was experimenting with food since the cats are almost 1, and I wanted to introduce different kinds of adult food so they'd get used to them.  I mixed half Science Diet dry kitten food with this product, and the cats began to eat less.  I was worried about how much they were eating (nearly 1/4 their original diet) so I filled one bowl with this indoor cat food and one bowl with their kitten food.  They barely touched the indoor cat food, while eating most of their kitten food.  I ended up having to mix some canned cat food in with it to get them to eat.<br /><br />Part of it might be that the food is triangular and much larger than the kitten food.  They had a hard time eating it at first, since they were used to the small pieces of the kitten food.<br /><br />Don't be discouraged, though.  My cat can't tell the difference between the kitten food and the regular adult food.  They really enjoy Science Diet's fish flavored food, so give that a try."
433593,B001LQCOIS,A3ESP91DPIHWGH,oceanmommy,1,1,5,1295827200,Time Saver,"Beaba is a wonderful, time saving machine.  My daughter just starting eating solid foods and the Beaba allows us all to sit down and eat at the same time.  She eats basically the same foods that we are eating for the night.  The all-in-one allows me to cook and blend her food without multiple tools or pots."
451281,B003QDRJXY,AVO7AO6SSFMJ7,Amazon Fan,0,0,5,1312761600,Yummy,I bought this because of all the rave reviews. The two tubs will last for quite a while. I use the oil as a skin moisturizer right after I shower. I also add a spoonful to oatmeal and rice. I love the smell. :)
138562,B0049W5NAC,A2QQGNXAWK5MP7,avidhiker,0,0,5,1339891200,Great morning tea,This is a great morning tea it has no crash and keeps me going through the entire day.  I do love to drink coffee although this doesn't have the coffee taste it does have the kick I would strongly recomend this!
184903,B003NY9NJO,AKCEA3R7H5RC,Robert B. Williams,0,1,5,1305676800,Can't live without it!,"Love this product, but it's a bit expensive. I try to stretch as much as possible. I buy in a local place. It's all I add to my salads."
372705,B006QG546W,A2WFOFA9NPM509,Cynic*5,2,4,5,1330128000,Better than grandmas,"I was pretty amazed by the taste and quality of this cookie.  It stayed fresh for a long period, which only happened because it had fallen behind something.  My kids loved them and they are known for being very forthright with their opinions.  Thx for making a great product."
124143,B000H23ZE4,A1T5XS6M0OA9OK,dougneb,5,6,5,1223337600,Buy them when you can!,"These don't stay in stock too long so buy them when they are available.  I waited for a year before Amazon started stocking these.  They are 25% cheaper than the local supermarket.<br /><br />Great quality and not your typical Ramen noodle.  Once you have these, you'll never go back to the 10 for a $1 Ramen noodles (unless you are in college)."
425647,B0034EDMLI,A1NNQ8V4QMFGTI,Lilyrose,0,0,5,1315353600,Awesome,Great taste and good for you. It is also gluten-free for those who have issues with gluten. I have tried several Kind bars and all are good.
110245,B001PMC3O8,A1PVBIUKEDNGVP,Steve L,0,0,5,1285286400,Super Finicky Cat Loves It!,"This is for the Chicken & Brown Rice Canned Cat Food Formula<br /><br />My cat (now 15 yrs old) has always been a picky eater.  The only cat food he would eat consistently was Whiskas canned cat food. But alas, they discontinued that product line, switching to pouches and tubs (both of which he refuses to eat).  He will eat 9 Lives from time to time, but it gives him gas and appears to be high in fat (based on the pool of fat when can is dumped out in dish).  I have desperately tried numerous brands and flavors of cats foods for a number of years, but to no avail (Some brands and flavors I could get him to eat for a day or two, but then he refuses to eat it any longer).<br /><br />Then I came across Newman's Organic Chicken & Brown Rice at Dillon's Grocery (owned by Krogers) during a stay in Hutchinson, Kansas and he LOVES IT!  And, it appears to be fairly low in fat, which is a huge plus for an elderly cat with liver troubles (he currently has to be given Denosyl, which is also available on Amazon, to keep his liver in check).<br /><br />For those unaware, a cat with liver troubles is recommended to receive a low fat, low sodium diet, with no fish meal and no organ meat.  I've read online that vets recommend chicken and brown rice blended cat food. So, while I dont know exactly how much sodium, fat, and organ meat this product has (ingredients do list chicken liver, ocean whitefish, and sea salt), it appears to fit the bill (Ie: it doesnt have a pool of liquid fat when put in the dish) and so far my cat is doing well on this product (at long as I continue to medicate him with Denosyl, due to his liver disease - which helps protect the liver and keep the bile production down to a minimum).<br /><br />Unlike most other canned cat foods, he eats the entire can and begs for another!  Today he's eaten every bite of FIVE of the small 3oz sized cans!<br /><br />Ounce to ounce, it's a little more expensive than some canned cat foods, but well worth it in my opinion, especially since none of it is going to waste (whereas with other brands I have been going through 3-5 5oz cans of the other brands of cat food, twice a day - morning meal and evening meal - simply to find one that he will eat and then he only eats 1/2 to 2/3 of one of them for each meal, which makes for up to 9 wasted 5 oz cans a day!).  So, in the long run it's cheaper for me at least, and no headaches of trying to get him to eat something.<br /><br />I'm am extremely happy with the product and my cat is very happy with it as well."
450677,B008TT1L3O,A3BD50871HW23N,Florida,0,0,5,1349481600,What a hair mask,After using this product as a measure my hair has been eye catching I used this powder with my henna and it have me more then great results
297200,B0082PHH56,A1EC3U23FWDQMZ,CHARLENE BEDAW,0,0,5,1347667200,AYURVEDIC ROAST - ORGANIC CAFFEINE SUBSTITUTE,"My Mother-in-law loves her morning coffee.  Because of medical conditions she could not have caffeine at all, which the products for non-caffeine on the market do contain caffeine.  We found Postum on line, which just did not do the trick and is very expensive.  We tried another substitute which was barely better.  When I ordered the substitute from Ayurvedic it was a big hit once I adjusted the amount.  She loves it and is now enjoying the start of her day with a good tasting coffee drink.  Thank you Ayurvedic!!! I would recommend this to anyone that is looking for an excellent coffee taste with no caffeine.  Charlene Bedaw"
393850,B003LSM98O,A2N3Q3TZW0AIVN,GENE,0,0,5,1327017600,ANOTHER WINNER,PAUL DOES IT AGAIN.  STARBUCKS EAT YOUR HEART OUT. IF YOU DO NOT LIKE THE STRONG FLAVORS OF STARBUCKS LIKE COFFEE TRY SOMETHING MILDER.  FOR THOSE THAT DO NOT HAVE A K MACHINE ---  JUST GET ONE.  TONS OF COFFEE AVAILABLE THRU AMAZON AND OTHER SITES AND EVEN AT YOUR LOCAL WALMART.
255734,B002FC8SJG,A1AUV9728OOPAX,"T. Flynn ""Da Ninja""",4,4,5,1278547200,Delicious!,"This candy is amazing! I'm a BIG tea fan. Iced, hot, green, black, whatever kinda tea it is, i like it. The classic iced tea tastes just like what it says... classic iced tea. The citrus is like if you were to squeeze a lemon into a glass of tea. The green tea latte is a bit strange. It tastes a lot like caramel, but also has a tea flavor to it. Its good as well. Also the shipping was great. I ordered it on a Friday and got it the next Monday. Overall, some of the greatest hard candy i've ever tried, and by far, the best tea candy."
152441,B000OQ4A3S,A1NRC3ZM9PQ5TU,"G. Klinger ""grrl_wirh_the_hair""",1,2,3,1338681600,Awesome service from this seller,"I was shocked how quickly this product came. I saw these on Dr. Oz and wanted to give them a try for a chocolate snack to cure my cravings for sweets. They are quite bitter though. I know dark chocolate with cacao can be more bitter than milk chocolate but I wasn't expecting it to be so hard to take. The seller's service was great, but I don't know that I will order these again due to the taste."
281161,B002R8SLUY,A3NOS22H78I2O3,Mieu,0,0,3,1330473600,We all wish we could eat a Fruitable.,"It's the best treat ever... for appealing to humans.  Everyone where I work says this is the only dog treat they wish they could eat.  It smells, FABULOUS.  I mean, I've smelled a lot of dog treats.  I promise you, upon opening this bag, you'll go, ""Wuhhh?"" and take a deeper sniff.<br /><br />These are not always such a sure-fire hit with the dogs, however.  Some really go for them.  It's about 60/40, the haters & the lovers.  I honestly wish more dogs liked these, because they make my training pouch smell SO much better than those stinky chicken & cheese nuggets I'm often stuck handing out.  Honesty, however, compels me to admit I am often more in favor of these treats than the dogs.<br /><br />However; I emphasize that *some* dogs did quite like these.  They're a good fit for Kong stuffing and puzzle toys.  They're not a guarantee, but if your pup likes fruit, he will probably enjoy these."
288529,B000ENUC3S,A2OIBKHW5SMCNE,"Trent Wolodko ""Trent M. Wolodko""",3,3,2,1313107200,"Disappointing, but to each his own.","I heard nothing but raves about this bar and how it tastes ""just like cherry pie!"".<br /><br />Ummm, perhaps people need to eat more cherry pie, because the cherry pie I'm used to tastes nothing like these... These tastes a lot more like someone doused a date and nut bar with sour cherry juice.<br /><br />Too tart and WAY too sweet."
122877,B000FDMLV8,A2JZF8L8DAM8OY,Harvey Pearson,0,1,5,1304640000,"Great tasting bread, and easy to make.","I don't cook much, but I have a breadmaker and this stuff makes super-great tasting bread quickly and easily and the cost is low.  Highly recommend the stuff."
307254,B001FA1AXU,A2WS6FMF750EI9,"Amy Steele ""quirky mama""",0,0,5,1341187200,"Merci, Merci!","Not sure when I discovered how succulent this chocolate was- either way back in the more-than-middish nineties, or way, way back in the endish eighties. Yes, that's how good they are, that one will remember them while exchanging vows, birthing, or cleaning the patio. Anyway, you can get them at Target and Wal-Mart, which suprised me when I discovered this fact, as I figured that my grandmother had brought them over direct from Europe. Which could be correct, but presently, they have been bestowed on us heathen Americans.<br /><br />The facts:<br /><br />-Flavors: Milk chocolate, coffee and cream, hazelnut-almond, hazelnut creme, dark creme, dark mousse, and praline creme. Twenty pieces; good luck with the math.<br /><br />-Has a printed expiration date and a guarantee.<br /><br />-Besides nuts and milk, has soy and wheat ingredients.<br /><br />-Taste-wise, definitely European.<br /><br />I am a chocolate fanantic; my preferences are sometimes peasant-like, sometimes grand (I would be fine with ""Hershey's"" if stranded, but ""See's"" chocolate has been digested by me). I am not a constant chocolate sampler, as I just go with what I know and adore. If you want to go continental, grab these suckers."
441060,B005VOONM6,AJ329F9H546BM,"A. Koren ""sharing quality""",0,2,4,1336608000,Nice mellow flavor..........................,With all the coffees around it is refreshing to have an Etheopian grind that tastes this good.  Although I do not have the proper coffee maker for this coffee I opened the bag and brewed it in my Mr. Coffee using the measured amount I usually use. No acidity or bitterness yet distinctive Ethiopian beans and flavor.
462643,B0049PHOF6,AFVIRL83I8O8V,Melanie Chhun Zamora,0,0,5,1293580800,My dogs LOVE these!!!!,"I've been giving these pork chomp knotz to my Shiba Inu puppy since he was just 3 or 4 months old. He is 11 months old now and these are by far his favorite thing to chew on. He's about 30 lbs and these 3-4"" knotz are perfect for his mouth size. I just got a 9 week old puppy and I've gotten him the mini knotz as well and he really enjoys chewing on these. It's perfect for teething pups and for older dogs as well. They love the taste as far as I can tell and always chew through the whole thing! Highly recommend!!"
535708,B003VXHGDM,AZWC23X2AZAQC,M. C. Bowman,1,1,3,1294704000,Not the best,"With so many choices now, I thought I woudl give this a try.<br />The Donut shop Decaf is by far my favorite and this one falls short."
